name,url,team,pos,owner,orank,rank,owned
Bobby Parnell,http://sports.yahoo.com/mlb/players/8338,NYM,RP,FA,258,645,28%
A.J. Burnett,http://sports.yahoo.com/mlb/players/6314,Pit,SP,JeRsEy FU's,259,891,50%
Drew Hutchison,http://sports.yahoo.com/mlb/players/9158,Tor,SP,FA,260,333,35%
Dallas Keuchel,http://sports.yahoo.com/mlb/players/9217,Hou,SP,King of Chardonnay,261,129,64%
Derek Holland,http://sports.yahoo.com/mlb/players/8406,Tex,SP,BeAsT mOdE,263,343,40%
Ken Giles,http://sports.yahoo.com/mlb/players/9729,Phi,RP,King of Chardonnay,270,188,47%
Henderson Alvarez,http://sports.yahoo.com/mlb/players/9011,Mia,SP,A-Rods Dope Supplier,272,155,56%
Jason Hammel,http://sports.yahoo.com/mlb/players/7709,ChC,SP,The Gladiators,273,152,38%
Jesse Hahn,http://sports.yahoo.com/mlb/players/9721,Oak,SP,FA,286,270,21%
Joe Smith,http://sports.yahoo.com/mlb/players/7997,LAA,RP,A-Rods Dope Supplier,289,89,30%
Francisco Rodriguez,http://sports.yahoo.com/mlb/players/7029,Mil,RP,King of Chardonnay,290,86,80%
Tony Watson,http://sports.yahoo.com/mlb/players/8958,Pit,RP,FA,291,118,21%
Wade Davis,http://sports.yahoo.com/mlb/players/8174,KC,RP,Stoolies,292,66,58%
Sergio Romo,http://sports.yahoo.com/mlb/players/8282,SF,RP,JeRsEy FU's,293,166,31%
Darren O'Day,http://sports.yahoo.com/mlb/players/8207,Bal,RP,FA,294,145,15%
Pat Neshek,http://sports.yahoo.com/mlb/players/7792,Hou,RP,Slow Rollers,295,122,14%
Rafael Soriano,http://sports.yahoo.com/mlb/players/6662,Was,RP,The Alliance,296,165,30%
Danny Duffy,http://sports.yahoo.com/mlb/players/8932,KC,SP/RP,Slow Rollers,297,131,56%
Andrew Miller,http://sports.yahoo.com/mlb/players/7847,NYY,RP,FA,298,138,46%
Brad Boxberger,http://sports.yahoo.com/mlb/players/9215,TB,RP,Slow Rollers,300,143,48%
Hiroki Kuroda,http://sports.yahoo.com/mlb/players/8167,NYY,SP,BeAsT mOdE,301,187,4%
Alfredo Simon,http://sports.yahoo.com/mlb/players/7975,Det,SP,FA,302,175,30%
Joe Nathan,http://sports.yahoo.com/mlb/players/6205,Det,RP,Stiinta Craiova,303,279,75%
Jean Machi,http://sports.yahoo.com/mlb/players/9288,SF,RP,FA,304,193,6%
Josh Collmenter,http://sports.yahoo.com/mlb/players/8904,Ari,SP/RP,Stoolies,305,178,10%
Bartolo Colon,http://sports.yahoo.com/mlb/players/5763,NYM,SP,Rain On 'Em,307,249,20%
Dan Otero,http://sports.yahoo.com/mlb/players/9149,Oak,RP,FA,308,200,4%
Casey Janssen,http://sports.yahoo.com/mlb/players/7748,Was,RP,FA,309,273,21%
Kelvin Herrera,http://sports.yahoo.com/mlb/players/9089,KC,RP,FA,310,212,11%
Yusmeiro Petit,http://sports.yahoo.com/mlb/players/7699,SF,SP/RP,Dugo's Way,311,199,14%
R.A. Dickey,http://sports.yahoo.com/mlb/players/6708,Tor,SP,Rain On 'Em,312,189,69%
Bryan Shaw,http://sports.yahoo.com/mlb/players/8962,Cle,RP,FA,313,232,6%
Mike Dunn,http://sports.yahoo.com/mlb/players/8576,Mia,RP,FA,314,218,4%
A.J. Ramos,http://sports.yahoo.com/mlb/players/9298,Mia,RP,FA,315,213,5%
Dominic Leone,http://sports.yahoo.com/mlb/players/9666,Sea,RP,FA,316,195,3%
Tommy Hunter,http://sports.yahoo.com/mlb/players/8312,Bal,RP,FA,317,272,5%
Tom Wilhelmsen,http://sports.yahoo.com/mlb/players/8883,Sea,RP,FA,319,223,3%
Bud Norris,http://sports.yahoo.com/mlb/players/8540,Bal,SP,JeRsEy FU's,320,174,19%
Fernando Abad,http://sports.yahoo.com/mlb/players/8767,Oak,RP,FA,321,214,2%
Seth Maness,http://sports.yahoo.com/mlb/players/9383,StL,RP,FA,322,245,3%
