fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,mlb_id
5491,Austin Romine,bat,Romine,Austin,6386,Romine,Austin,9082,Romine,Austin,NYY,C,ROMINE19881122A,519222
5496,Francisco Peguero,bat,Peguero,Francisco,5995,Peguero,Francisco,9276,Peguero,Francisco,SF,OF,,501317
5497,Marwin Gonzalez,bat,Gonzalez,Marwin,6884,Gonzalez,Marwin,9142,Gonzalez,Marwin,HOU,2B/3B/SS,GONZALEZ19890314A,503556
5498,Arodys Vizcaino,pit,Vizcaino,Arodys,6270,Vizcaino,Arodys,8998,Vizcaino,Arodys,CHC,RP,VIZCAINO19901113A,527055
5503,Corban Joseph,bat,Joseph,Corban,6834,Joseph,Corban,9387,Joseph,Corban,,2B,,543377
5506,George Kottaras,bat,Kottaras,George,2657,Kottaras,George,7941,Kottaras,George,KC,C,,435459
5508,Dana Eveland,pit,Eveland,Dana,,,,7600,Eveland,Dana,,RP,,445968
5514,Jesus Montero,bat,Montero,Jesus,6033,Montero,Jesus,8638,Montero,Jesus,SEA,Util,MONTERO19891128A,524968
5518,Tim Dillard,pit,Dillard,Tim,,,,,,,,,,457422
5519,Ruben Tejada,bat,Tejada,Ruben,6105,Tejada,Ruben,8672,Tejada,Ruben,NYM,SS,TEJADA19890901A,514913
5523,James McDonald,pit,McDonald,James,3172,McDonald,James,8358,McDonald,James,PIT,SP,,457428
5524,Madison Bumgarner,pit,Bumgarner,Madison,5853,Bumgarner,Madison,8590,Bumgarner,Madison,SF,SP,BUMGARNER19890801A,518516
5525,Boone Logan,pit,Logan,Boone,2871,Logan,Boone,7715,Logan,Boone,NYY,RP,LOGAN19840813A,457429
5529,Maikel Cleto,pit,Cleto,Maikel,6594,Cleto,Maikel,8951,Cleto,Maikel,STL,RP,CLETO19890501A,521055
5535,Phil Coke,pit,Coke,Phil,969,Coke,Phil,8350,Coke,Phil,DET,RP,,457435
5536,Fernando Hernandez,pit,Hernandez,Fernando,,,,,,,,,,467761
5538,Jared Wells,pit,Wells,Jared,,,,,,,,,,457437
5551,Matt Harrison,pit,Harrison,Matt,2042,Harrison,Matt,8182,Harrison,Matt,TEX,SP/RP,HARRISON19850816A,457448
5552,Jamie Romak,bat,Romak,Jamie,,,,9714,,,,RF,,457449
