"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Chad Tracy","Diamondbacks","25","93","141","141","37","33","4","0","0","0","9","0","0","10","0","0","141","0","0","0","9","0","0","164","359","523","53.2 %","33.3 %","13.5 %","15.6 %","64.5 %","19.9 %","1888"
"Gabe Kapler","Red Sox","29","29","44","44","12","12","0","0","0","0","5","0","0","1","0","0","44","0","0","0","6","0","0","50","103","153","72.7 %","20.5 %","6.8 %","4.6 %","72.7 %","22.7 %","1256"
"Jesse Garcia","Padres","31","7","11","11","3","3","0","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0","4","19","23","54.6 %","9.1 %","36.4 %","36.4 %","54.6 %","9.1 %","1418"
"Terrmel Sledge","Nationals","28","9","11","11","3","3","0","0","0","0","1","0","0","3","0","0","11","0","0","0","0","0","0","11","26","37","54.6 %","36.4 %","9.1 %","9.1 %","90.9 %","0.0 %","1878"
"Nate McLouth","Pirates","23","24","44","44","12","12","0","0","0","0","1","0","0","2","0","0","44","0","0","0","6","0","0","48","109","157","59.1 %","29.6 %","11.4 %","18.2 %","56.8 %","25.0 %","3190"
"Shea Hillenbrand","Blue Jays","29","124","218","218","55","45","9","1","0","0","13","0","0","21","0","0","218","0","0","0","12","0","0","186","469","655","60.1 %","28.4 %","11.5 %","17.0 %","62.8 %","20.2 %","196"
"Miguel Tejada","Orioles","31","140","270","270","71","65","6","0","0","0","19","0","0","25","0","0","270","0","0","0","25","0","0","265","616","881","56.3 %","27.0 %","16.7 %","13.7 %","61.1 %","25.2 %","941"
"Luis Terrero","Diamondbacks","25","38","53","53","14","13","1","0","0","0","8","0","0","5","0","0","53","0","0","0","3","0","0","45","116","161","62.3 %","30.2 %","7.6 %","20.8 %","60.4 %","18.9 %","1765"
"Brandon Inge","Tigers","28","121","187","187","50","48","2","0","0","0","12","0","0","13","0","0","187","0","0","0","13","0","0","211","444","655","58.8 %","28.9 %","12.3 %","18.7 %","58.8 %","22.5 %","470"
"Chris Widger","White Sox","34","29","42","42","11","10","1","0","0","0","1","0","0","5","0","0","42","0","0","0","2","0","0","45","103","148","54.8 %","35.7 %","9.5 %","14.3 %","64.3 %","21.4 %","1541"
