name,pos,team,year,rk,mlb_id
Austin Kearns,of,Reds,2002,11,400290
Joe Borchard,of,White Sox,2002,12,400021
Nick Johnson,1b,Yankees,2002,13,276376
Ryan Anderson,lhp,Mariners,2002,14,284571
Angel Berroa,ss,Royals,2002,15,407556
Dennis Tankersley,rhp,Padres,2002,16,407807
Nick Neugebauer,rhp,Brewers,2002,17,400302
Josh Hamilton,of,Devil Rays,2002,18,285078
Jerome Williams,rhp,Giants,2002,19,425532
Brandon Phillips,ss,Expos,2002,20,408252
Justin Morneau,1b,Twins,2002,21,408047
Casey Kotchman,1b,Angels,2002,22,425773
Jon Rauch,rhp,White Sox,2002,23,400010
Carlos Hernandez,lhp,Astros,2002,24,115815
Ty Howington,lhp,Reds,2002,25,280058
Marlon Byrd,of,Phillies,2002,26,407781
Michael Cuddyer,3b/of,Twins,2002,27,150212
Jake Peavy,rhp,Padres,2002,28,408241
Boof Bonser,rhp,Giants,2002,29,425818
Rafael Soriano,rhp,Mariners,2002,30,400089
Adrian Gonzalez,1b,Marlins,2002,31,408236
Corwin Malone,lhp,White Sox,2002,32,408096
Brett Myers,rhp,Phillies,2002,33,408206
Jose Reyes,ss,Mets,2002,34,408314
Kazuhisa Ishii,lhp,Dodgers,2002,35,408193
Josh Phelps,c,Blue Jays,2002,36,150482
Brandon Claussen,lhp,Yankees,2002,37,407799
Miguel Cabrera,ss,Marlins,2002,38,408234
Xavier Nady,1b,Padres,2002,39,294558
Hee Seop Choi,1b,Cubs,2002,40,400292
House,c,Pirates,2002,41,407399
Adam Wainwright,rhp,Braves,2002,42,425794
John Buck,c,Astros,2002,43,407833
Jimmy Journell,rhp,Cardinals,2002,44,407867
David Kelton,3b,Cubs,2002,45,407778
Chris Snelling,of,Mariners,2002,46,421684
Kelly Johnson,ss,Braves,2002,47,430637
Bobby Hill,2b,Cubs,2002,48,407930
Mario Ramos,lhp,Rangers,2002,49,407398
Jimmy Gobble,lhp,Royals,2002,50,425471
Chris Burke,ss,Astros,2002,51,429663
Antonio Perez,ss,Mariners,2002,52,407815
Jason Lane,of,Astros,2002,53,407835
Mark Phillips,lhp,Padres,2002,54,460660
Nate Cornejo,rhp,Tigers,2002,55,407074
Gavin Floyd,rhp,Phillies,2002,56,425856
Dewon Brazelton,rhp,Devil Rays,2002,57,407376
Kurt Ainsworth,rhp,Giants,2002,58,215128
Carl Crawford,of,Devil Rays,2002,59,408307
Seung Song,rhp,Red Sox,2002,60,424705
Chin-Hui Tsao,rhp,Rockies,2002,61,425835
Brad Wilkerson,of,Expos,2002,62,150415
Mike Restovich,of,Twins,2002,63,282879
Chin-Feng Chen,of,Dodgers,2002,64,282600
Wily Mo Pena,of,Reds,2002,65,276377
Brett Evert,rhp,Braves,2002,66,425559
Juan Rivera,of,Yankees,2002,67,407487
Nic Jackson,of,Cubs,2002,68,425482
Ricardo Rodriguez,rhp,Dodgers,2002,69,400156
Jayson Werth,c,Blue Jays,2002,70,150029
Alex Escobar,of,Indians,2002,71,276510
Clint Nageotte,rhp,Mariners,2002,72,425788
Corey Smith,3b,Indians,2002,73,430647
Bobby Jenks,rhp,Angels,2002,74,408057
Gabe Gross,of,Blue Jays,2002,75,408212
John-Ford Griffin,of,Yankees,2002,76,424366
Jake Gautreau,2b,Padres,2002,77,425866
Aaron Heilman,rhp,Mets,2002,78,408310
Kenny Baugh,rhp,Tigers,2002,79,408297
Carlos Zambrano,rhp,Cubs,2002,80,407296
Orlando Hudson,2b,Blue Jays,2002,81,407861
Colby Lewis,rhp,Rangers,2002,82,407890
Tony Torcato,of,Giants,2002,83,407378
Mike Jones,rhp,Brewers,2002,84,116710
Adam Johnson,rhp,Twins,2002,85,407053
Chris Narveson,lhp,Cardinals,2002,86,429780
Denny Bautista,rhp,Marlins,2002,87,429714
J.D. Martin,rhp,Indians,2002,88,455605
Jon Vanbenschoten,rhp,Pirates,2002,89,429724
Erik Bedard,lhp,Orioles,2002,90,407853
Eric Byrnes,of,Athletics,2002,91,291565
Ramon Vazquez,ss,Padres,2002,92,407496
Tony Blanco,3b,Red Sox,2002,93,433592
Joe Crede,3b,White Sox,2002,94,150317
Omar Infante,ss,Tigers,2002,95,408299
Matt Belisle,rhp,Braves,2002,96,279571
Victor Martinez,c,Indians,2002,97,400121
Dustin Mcgowan,rhp,Blue Jays,2002,98,430661
Ryan Dittfurth,rhp,Rangers,2002,99,407888
Jack Cust,of,Rockies,2002,100,400091
Josh Hamilton,of,Devil Rays,2001,1,285078
Corey Patterson,of,Cubs,2001,2,279913
Josh Beckett,rhp,Marlins,2001,3,277417
Jon Rauch,rhp,White Sox,2001,4,400010
Ben Sheets,rhp,Brewers,2001,5,282656
Sean Burroughs,3b,Padres,2001,6,284568
C.C. Sabathia,lhp,Indians,2001,7,282332
Ryan Anderson,lhp,Mariners,2001,8,284571
Ichiro Suzuki,of,Mariners,2001,9,400085
Nick Johnson,1b,Yankees,2001,10,276376
Carlos Pena,1b,Rangers,2001,11,150289
Vernon Wells,of,Blue Jays,2001,12,150484
Roy Oswalt,rhp,Astros,2001,13,400061
Drew Henson,3b,Reds,2001,14,408214
Chin-Hui Tsao,rhp,Rockies,2001,15,425835
Antonio Perez,ss,Mariners,2001,16,407815
Juan Cruz,rhp,Cubs,2001,17,407297
Alex Escobar,of,Mets,2001,18,276510
Jerome Williams,rhp,Giants,2001,19,425532
Bobby Bradley,rhp,Pirates,2001,20,425490
R House,c,Pirates,2001,21,407399
Hee Seop Choi,1b,Cubs,2001,22,400292
Joe Borchard,of,White Sox,2001,23,400021
Austin Kearns,of,Reds,2001,24,400290
Chris George,lhp,Royals,2001,25,114703
Donnie Bridges,rhp,Expos,2001,26,400110
Alfonso Soriano,ss,Yankees,2001,27,150093
Matt Belisle,rhp,Braves,2001,28,279571
Wilson Betemit,ss,Braves,2001,29,400140
Kurt Ainsworth,rhp,Giants,2001,30,215128
Jimmy Rollins,ss,Phillies,2001,31,276519
Felipe Lopez,ss,Blue Jays,2001,32,150479
Adam Dunn,of,Reds,2001,33,276055
Jose Ortiz,2b,Athletics,2001,34,120076
Brad Wilkerson,of,Expos,2001,35,150415
Joe Crede,3b,White Sox,2001,36,150317
Ben Christensen,rhp,Cubs,2001,37,279908
Jack Cust,of/1b,Diamondbacks,2001,38,400091
Bud Smith,lhp,Cardinals,2001,39,406873
Jacob Peavy,rhp,Padres,2001,40,408241
Adam Johnson,rhp,Twins,2001,41,407053
Albert Pujols,3b,Cardinals,2001,42,405395
Aubrey Huff,3b,Devil Rays,2001,43,333492
Matt Ginter,rhp,White Sox,2001,44,215197
Wes Anderson,rhp,Marlins,2001,45,346860
Angelo Jimenez,ss,Yankees,2001,46,150090
Brett Myers,rhp,Phillies,2001,47,408206
Dee Brown,of,Royals,2001,48,150202
Tim Redding,rhp,Astros,2001,49,400062
Joe Torres,lhp,Angels,2001,50,445229
Matt Mcclendon,rhp,Braves,2001,51,407909
Jason Standridge,rhp,Devil Rays,2001,52,285075
Wascar Serrano,rhp,Padres,2001,53,150444
Marcus Giles,2b,Braves,2001,54,279578
Michael Cuddyer,3b,Twins,2001,55,150212
Kevin Mench,of,Rangers,2001,56,407891
Wilfredo Rodriguez,lhp,Astros,2001,57,276360
Mike Bynum,lhp,Padres,2001,58,407803
Jason Hart,1b,Athletics,2001,59,400071
Tony Torcato,3b,Giants,2001,60,407378
Dan Wright,rhp,White Sox,2001,61,216106
Alex Cintron,ss,Diamondbacks,2001,62,400090
Pat Strange,rhp,Mets,2001,63,407882
Brian Cole,of,Mets,2001,64,444021
Jovanny Cedeno,rhp,Rangers,2001,65,400097
Adrian Hernandez,rhp,Yankees,2001,66,406324
Brandon Inge,c,Tigers,2001,67,276346
Carlos Zambrano,rhp,Cubs,2001,68,407296
Jesus Colome,rhp,Devil Rays,2001,69,400125
Eric Munson,1b,Tigers,2001,70,276347
Francisco Rodriguez,rhp,Angels,2001,71,408061
Carl Crawford,of,Devil Rays,2001,72,408307
Luis Montanez,ss,Cubs,2001,73,428642
Dane Sardinha,c,Reds,2001,74,400154
Abraham Nunez,of,Marlins,2001,75,346863
Brad Baker,rhp,Red Sox,2001,76,434580
Dernell Stenson,1b/of,Red Sox,2001,77,275932
Brad Baisley,rhp,Phillies,2001,78,407780
Mike Macdougal,rhp,Royals,2001,79,213680
Joel Pineiro,rhp,Mariners,2001,80,334492
Ryan Ludwick,of,Athletics,2001,81,407886
Xavier Nady,3b,Padres,2001,82,294558
Nick Neugebauer,rhp,Brewers,2001,83,400302
Justin Miller,rhp,Athletics,2001,84,277405
Lance Niekro,3b,Giants,2001,85,408067
Chin-Feng Chen,of,Dodgers,2001,86,282600
Tony Blanco,3b,Red Sox,2001,87,433592
Danys Baez,rhp,Indians,2001,88,276056
Adrian Gonzalez,1b,Marlins,2001,89,408236
David Espinosa,ss/2b,Reds,2001,90,400153
Miguel Cabrera,ss,Marlins,2001,91,408234
Jason Marquis,rhp,Braves,2001,92,150302
Luis Rivas,2b,Twins,2001,93,276372
Juan Uribe,ss,Rockies,2001,94,346874
Ramon Santiago,ss,Tigers,2001,95,421124
Keith Reed,of,Orioles,2001,96,407910
Adam Wainwright,rhp,Braves,2001,97,425794
Chris Snelling,of,Mariners,2001,98,421684
Joe Lawrence,c,Blue Jays,2001,99,150478
Matt White,rhp,Devil Rays,2001,100,285076
Rick Ankiel,lhp,Cardinals,2000,1,150449
Pat Burrell,1b/of,Phillies,2000,2,150100
Corey Patterson,of,Cubs,2000,3,279913
Vernon Wells,of,Blue Jays,2000,4,150484
Nick Johnson,1b,Yankees,2000,5,276376
Ruben Mateo,of,Rangers,2000,6,150288
Sean Burroughs,3b,Padres,2000,7,284568
Rafael Furcal,ss,Braves,2000,8,279577
Ryan Anderson,lhp,Mariners,2000,9,284571
John Patterson,rhp,Diamondbacks,2000,10,120292
Dee Brown,of,Royals,2000,11,150202
Mark Mulder,lhp,Athletics,2000,12,150426
Josh Hamilton,of,Devil Rays,2000,13,285078
Kip Wells,rhp,White Sox,2000,14,150337
Matt Riley,lhp,Orioles,2000,15,235494
Alfonso Soriano,ss,Yankees,2000,16,150093
Chin-Feng Chen,of,Dodgers,2000,17,282600
Michael Cuddyer,3b,Twins,2000,18,150212
Josh Beckett,rhp,Marlins,2000,19,277417
Burnett,rhp,Marlins,2000,20,150359
Gookie Dawkins,ss,Reds,2000,21,235194
Brad Penny,rhp,Marlins,2000,22,207267
Eric Munson,1b/c,Tigers,2000,23,276347
Drew Henson,3b,Reds,2000,24,408214
Wilfredo Rodriguez,lhp,Astros,2000,25,276360
Michael Restovich,of,Twins,2000,26,282879
Tony Armas,rhp,Expos,2000,27,110318
Ramon Ortiz,rhp,Angels,2000,28,150009
Francisco Cordero,rhp,Rangers,2000,29,150188
Abraham Nunez,of,Marlins,2000,30,346863
Jack Cust,of,Diamondbacks,2000,31,400091
Jon Garland,rhp,White Sox,2000,32,279782
Chad Hermansen,of,Pirates,2000,33,150252
Alex Escobar,of,Mets,2000,34,276510
Ben Petrick,c,Rockies,2000,35,150052
Milton Bradley,of,Expos,2000,36,150396
Lance Berkman,of,Astros,2000,37,204020
Felipe Lopez,ss,Blue Jays,2000,38,150479
Danys Baez,rhp,Indians,2000,39,276056
Chris George,lhp,Royals,2000,40,114703
Barry Zito,lhp,Athletics,2000,41,217096
Choo Freeman,of,Rockies,2000,42,425551
Wes Anderson,rhp,Marlins,2000,43,346860
Matthew Lecroy,c,Twins,2000,44,150220
Chad Hutchinson,rhp,Cardinals,2000,45,150454
George Lombard,of,Braves,2000,46,136601
Jason Standridge,rhp,Devil Rays,2000,47,285075
Jayson Werth,c,Orioles,2000,48,150029
Eric Gagne,rhp,Dodgers,2000,49,150378
Steve Lomasney,c,Red Sox,2000,50,206565
Luis Rivera,rhp,Braves,2000,51,121248
Brad Baisley,rhp,Phillies,2000,52,407780
Jesus Colome,rhp,Athletics,2000,53,400125
Wascar Serrano,rhp,Padres,2000,54,150444
Ed Yarnall,lhp,Reds,2000,55,150097
Adam Dunn,of,Reds,2000,56,276055
C.C. Sabathia,lhp,Indians,2000,57,282332
Kurt Ainsworth,rhp,Giants,2000,58,215128
Rob Bell,rhp,Reds,2000,59,150174
Julio Ramirez,of,Marlins,2000,60,150369
Peter Bergeron,of,Expos,2000,61,150395
Pablo Ozuna,2b/ss,Marlins,2000,62,150367
Aaron Myette,rhp,White Sox,2000,63,150329
Adam Eaton,rhp,Padres,2000,64,284566
Ben Sheets,rhp,Brewers,2000,65,282656
Dernell Stenson,1b,Red Sox,2000,66,275932
Cesar Izturis,ss,Blue Jays,2000,67,285131
Jason Romano,2b,Rangers,2000,68,400099
Wade Miller,rhp,Astros,2000,69,150063
Kyle Snyder,rhp,Royals,2000,70,216897
Mike Lamb,3b,Rangers,2000,71,150286
Jackson Melian,of,Reds,2000,72,367893
Carlos Guillen,3b,Mariners,2000,73,136722
Marcus Giles,2b,Braves,2000,74,279578
Dan Reichert,rhp,Royals,2000,75,150209
Adam Everett,ss,Astros,2000,76,276361
Hee Seop Choi,1b,Cubs,2000,77,400292
Pat Strange,rhp,Mets,2000,78,407882
Garbe,of,Twins,2000,79,408049
Chip Ambres,of,Marlins,2000,80,407876
Byung-Hyun Kim,rhp,Diamondbacks,2000,81,218294
Russ Branyan,3b,Indians,2000,82,137140
Orber Moreno,rhp,Royals,2000,83,150205
Grant Roberts,rhp,Mets,2000,84,150241
Ryan Christianson,c,Mariners,2000,85,284573
Luis Rivas,2b,Twins,2000,86,276372
Jason Jennings,rhp,Rockies,2000,87,407298
Wily Mo Pena,of,Yankees,2000,88,276377
D'Angelo Jimenez,ss,Yankees,2000,89,150090
Mario Encarnacion,of,Athletics,2000,90,276512
Tim Drew,rhp,Indians,2000,91,282328
Ramon Santiago,ss,Tigers,2000,92,421124
Adam Piatt,3b,Athletics,2000,93,276516
Sun Woo Kim,rhp,Red Sox,2000,94,279615
Jimmy Rollins,ss,Phillies,2000,95,276519
Joe Crede,3b,White Sox,2000,96,150317
Davis,of,Pirates,2000,97,121288
Aubrey Huff,3b,Devil Rays,2000,98,333492
Wilson Betemit,ss,Braves,2000,99,400140
Kenny Kelly,of,Devil Rays,2000,100,220305
J.D. Drew,of,Cardinals,1999,1,114774
Rick Ankiel,lhp,Cardinals,1999,2,150449
Eric Chavez,3b,Athletics,1999,3,136767
Bruce Chen,lhp,Braves,1999,4,136600
Brad Penny,rhp,Diamondbacks,1999,5,207267
Michael Barrett,3b/c,Expos,1999,6,136664
Ryan Anderson,lhp,Mariners,1999,7,284571
Pablo Ozuna,ss,Marlins,1999,8,150367
Ruben Mateo,of,Rangers,1999,9,150288
Matt Clement,rhp,Padres,1999,10,136725
Alex Escobar,of,Mets,1999,11,276510
Roy Halladay,rhp,Blue Jays,1999,12,136880
Lance Berkman,of,Astros,1999,13,204020
Carlos Beltran,of,Royals,1999,14,136860
John Patterson,rhp,Diamondbacks,1999,15,120292
Corey Patterson,of,Cubs,1999,16,279913
Alex Gonzalez,ss,Marlins,1999,17,136460
Nick Johnson,1b,Yankees,1999,18,276376
Pat Burrell,1b,Phillies,1999,19,150100
Matt Riley,lhp,Orioles,1999,20,235494
Burnett,rhp,Marlins,1999,21,150359
Dernell Stenson,of,Red Sox,1999,22,275932
Braden Looper,rhp,Marlins,1999,23,131702
Ben Davis,c,Padres,1999,24,150433
Ryan Bradley,rhp,Yankees,1999,25,136420
George Lombard,of,Braves,1999,26,136601
Mark Mulder,lhp,Athletics,1999,27,150426
Carlos Lee,3b,White Sox,1999,28,150324
Russell Branyan,3b,Indians,1999,29,137140
Carlos Febles,2b,Royals,1999,30,136866
Odalis Perez,lhp,Braves,1999,31,136602
Matt White,rhp,Devil Rays,1999,32,285076
Billy Koch,rhp,Blue Jays,1999,33,150477
Gabe Kapler,of,Tigers,1999,34,137002
Rob Bell,rhp,Reds,1999,35,150174
Michael Cuddyer,ss/3b,Twins,1999,36,150212
Chad Hermansen,of,Pirates,1999,37,150252
Calvin Pickering,1b,Orioles,1999,38,136730
Alfonso Soriano,ss,Yankees,1999,39,150093
Peter Bergeron,of,Expos,1999,40,150395
Angel Pena,c,Dodgers,1999,41,136723
Chad Hutchinson,rhp,Cardinals,1999,42,150454
Mitch Meluskey,c,Astros,1999,43,136581
Jason Grilli,rhp,Giants,1999,44,276351
Octavio Dotel,rhp,Mets,1999,45,136734
Joe Crede,3b,White Sox,1999,46,150317
Kevin Mcglinchy,rhp,Braves,1999,47,150304
Julio Ramirez,of,Marlins,1999,48,150369
Ron Belliard,2b,Brewers,1999,49,150071
Michael Restovich,of,Twins,1999,50,282879
Jeff Weaver,rhp,TIgers,1999,51,213711
Jayson Werth,c,Orioles,1999,52,150029
Eric Dubose,lhp,Athletics,1999,53,276511
Brent Butler,ss,Cardinals,1999,54,150450
Jeff Austin,rhp,Royals,1999,55,406953
John Curtice,lhp,Red Sox,1999,56,441300
Orber Moreno,rhp,Royals,1999,57,150205
Mike Lowell,3b,Marlins,1999,58,136780
Kris Benson,rhp,Pirates,1999,59,150249
Rafael Furcal,ss,Braves,1999,60,279577
Freddy Garcia,rhp,Mariners,1999,61,114587
Junior Herndon,rhp,Padres,1999,62,400146
Luis Rivas,ss,Twins,1999,63,276372
Jeremy Giambi,of,Royals,1999,64,136605
Kelly Dransfeldt,2b/ss,Rangers,1999,65,150278
Ted Lilly,lhp,Expos,1999,66,150404
Felipe Lopez,ss,Blue Jays,1999,67,150479
Cristian Guzman,ss,Twins,1999,68,150217
Vernon Wells,of,Blue Jays,1999,69,150484
Ricky Ledee,of,Yankees,1999,70,133342
Luis Rivera,rhp,Braves,1999,71,121248
Jackson Melian,of,Yankees,1999,72,367893
Gary Matthews Jr.,of,Padres,1999,73,150439
Darnell Mcdonald,of,Orioles,1999,74,150021
Choo Freeman,of,Rockies,1999,75,425551
Austin Kearns,of,Reds,1999,76,400290
Aaron Myette,rhp,White Sox,1999,77,150329
Gil Meche,rhp,Mariners,1999,78,219194
Grant Roberts,rhp,Mets,1999,79,150241
Wade Miller,rhp,Astros,1999,80,150063
Derrick Gibson,of,Rockies,1999,81,136763
Sean Burroughs,3b,Padres,1999,82,284568
Marlon Anderson,2b,Phillies,1999,83,136724
Warren Morris,2b,Pirates,1999,84,150255
Ben Petrick,c,Rockies,1999,85,150052
Milton Bradley,of,Expos,1999,86,150396
Carlos Guillen,2b,Mariners,1999,87,136722
Guillermo Mota,rhp,Expos,1999,88,150407
Jason Marquis,rhp,Braves,1999,89,150302
Tony Armas Jr.,rhp,Expos,1999,90,150393
Wes Anderson,rhp,Marlins,1999,91,346860
Dermal Brown,of,Royals,1999,92,150202
Carlos Pena,1b,Rangers,1999,93,150289
Mike Darr,of,Padres,1999,94,113056
Chad Harville,rhp,Athletics,1999,95,150420
Randy Wolf,lhp,Phillies,1999,96,150116
Scott Williamson,rhp,Reds,1999,97,150182
Adam Kennedy,2b,Cardinals,1999,98,150456
Trot Nixon,of,Red Sox,1999,99,119811
Drew Henson,3b,Yankees,1999,100,408214
Ben Grieve,of,Athletics,1998,1,115132
Paul Konerko,1b/3b,Dodgers,1998,2,117244
Adrian Beltre,3b,Dodgers,1998,3,134181
Kerry Wood,rhp,Cubs,1998,4,134268
Aramis Ramirez,3b,Pirates,1998,5,133380
Matt White,rhp,Devil Rays,1998,6,285076
Kris Benson,rhp,Pirates,1998,7,150249
Travis Lee,1b,Diamondbacks,1998,8,134162
Carl Pavano,rhp,Expos,1998,9,134321
Miguel Tejada,ss,Athletics,1998,10,123173
Todd Helton,1b,Rockies,1998,11,115732
Mark Kotsay,of,Marlins,1998,12,117276
Chad Hermansen,2b,Pirates,1998,13,150252
Brad Fullmer,1b,Expos,1998,14,114485
Juan Encarnacion,of,Tigers,1998,15,113845
Matt Clement,rhp,Padres,1998,16,136725
Ruben Mateo,of,Rangers,1998,17,150288
Rick Ankiel,lhp,Cardinals,1998,18,150449
Richard Hidalgo,of,Astros,1998,19,115902
Sean Casey,1b,Indians,1998,20,112087
Darnell Mcdonald,of,Orioles,1998,21,150021
Brian Rose,rhp,Red Sox,1998,22,121450
Ryan Anderson,lhp,Mariners,1998,23,284571
Matt Anderson,rhp,Tigers,1998,24,150183
Eric Milton,lhp,Twins,1998,25,132980
Russell Branyan,3b,Indians,1998,26,137140
Bruce Chen,lhp,Braves,1998,27,136600
Scott Elarton,rhp,Astros,1998,28,134003
Grant Roberts,rhp,Mets,1998,29,150241
Eric Chavez,3b,Athletics,1998,30,136767
Cesar King,c,Rangers,1998,31,462602
Dermal Brown,of,Royals,1998,32,150202
Eli Marrero,c,Cardinals,1998,33,118305
Mike Caruso,ss,White Sox,1998,34,134267
Ryan Minor,3b,Orioles,1998,35,136861
Troy Glaus,3b,Angels,1998,36,136267
Rolando Arrojo,rhp,Devil Rays,1998,37,134361
Roy Halladay,rhp,Blue Jays,1998,38,136880
Braden Looper,rhp,Cardinals,1998,39,131702
Ruben Rivera,of,Padres,1998,40,121252
Francisco Cordero,rhp,Tigers,1998,41,150188
Hinch,c,Athletics,1998,42,134460
Carlos Lee,3b,White Sox,1998,43,150324
Luis Rivera,rhp,Braves,1998,44,121248
John Patterson,rhp,Diamondbacks,1998,45,120292
Ricky Ledee,of,Yankees,1998,46,133342
Derrek Lee,1b,Marlins,1998,47,117601
Alex Gonzalez,ss,Marlins,1998,48,136460
Ben Davis,c,Padres,1998,49,150433
Willie Martinez,rhp,Indians,1998,50,150346
Michael Coleman,of,Red Sox,1998,51,112482
Vernon Wells,of,Blue Jays,1998,52,150484
Ben Petrick,c,Rockies,1998,53,150052
Jason Grilli,rhp,Giants,1998,54,276351
Luis Rivas,ss,Twins,1998,55,276372
Magglio Ordonez,of,White Sox,1998,56,120044
Julio Ramirez,of,Marlins,1998,57,150369
Ryan Brannan,rhp,Phillies,1998,58,443913
Mike Judd,rhp,Dodgers,1998,59,116781
Ed Yarnall,lhp,Mets,1998,60,150097
Enrique Wilson,2b,Indians,1998,61,124388
Damian Jackson,ss,Reds,1998,62,116423
Corey Lee,lhp,Rangers,1998,63,150287
Lance Berkman,of,Astros,1998,64,204020
Abraham Nunez,ss,Pirates,1998,65,346863
Joe Fontenot,rhp,Marlins,1998,66,133227
Shawn Chacon,rhp,Rockies,1998,67,276336
Robbie Bell,rhp,Braves,1998,68,150174
Brent Butler,ss,Cardinals,1998,69,150450
Preston Wilson,of,Mets,1998,70,133343
Mike Lowell,3b,Yankees,1998,71,136780
Rafael Medina,rhp,Marlins,1998,72,133241
Jarrod Washburn,lhp,Angels,1998,73,132220
Ramon Hernandez,c,Athletics,1998,74,115831
Ramon Oritz,rhp,Angels,1998,75,150009
Wade Miller,rhp,Astros,1998,76,150063
Karim Garcia,of,Diamondbacks,1998,77,114588
Sidney Ponson,rhp,Orioles,1998,78,132260
Robinson Checo,rhp,Red Sox,1998,79,112226
Lorenzo Barcelo,rhp,White Sox,1998,80,150311
Derrick Gibson,of,Rockies,1998,81,136763
Gil Meche,rhp,Mariners,1998,82,219194
Javier Vazquez,rhp,Expos,1998,83,134320
David Ortiz,1b,Twins,1998,84,120074
Nelson Lara,rhp,Marlins,1998,85,150365
Juan Melo,ss,Padres,1998,86,150440
Todd Dunwoody,of,Marlins,1998,87,113646
Chris Reitsma,rhp,Red Sox,1998,88,277410
Valerio De Los Santos,lhp,Brewers,1998,89,136304
Jeff Wallace,lhp,Pirates,1998,90,123862
Dennis Reyes,lhp,Dodgers,1998,91,121096
Orlando Cabrera,2b,Expos,1998,92,111851
George Lombard,of,Braves,1998,93,136601
Lariel Gonzalez,rhp,Rockies,1998,94,136764
Geoff Jenkins,of,Brewers,1998,95,132961
Geoff Goetz,lhp,Mets,1998,96,346861
Daryle Ward,1b,Astros,1998,97,132880
Jackson Melian,of,Yankees,1998,98,367893
Kevin Witt,1b,Blue Jays,1998,99,136901
Chris Enochs,rhp,Athletics,1998,100,434758
Andruw Jones,of,Braves,1997,1,116662
Vladimir Guerrero,of,Expos,1997,2,115223
Kerry Wood,rhp,Cubs,1997,3,134268
Matt White,rhp,Devil Rays,1997,4,285076
Travis Lee,1b,Diamondbacks,1997,5,134162
Miguel Tejeda,ss,Athletics,1997,6,123173
Todd Walker,3b,Twins,1997,7,123842
Kris Benson,rhp,Pirates,1997,8,150249
Ruben Rivera,of,Yankees,1997,9,121252
Nomar Garciaparra,ss,Red Sox,1997,10,114596
Paul Konerko,1b,Dodgers,1997,11,117244
Jose Cruz Jr.,of,Mariners,1997,12,112903
Scott Rolen,3b,Phillies,1997,13,121409
Bartolo Colon,rhp,Indians,1997,14,112526
Derrek Lee,1b,Padres,1997,15,117601
Todd Helton,1b,Rockies,1997,16,115732
Carl Pavano,rhp,Red Sox,1997,17,134321
Ben Grieve,of,Athletics,1997,18,115132
Richard Hidalgo,of,Astros,1997,19,115902
Karim Garcia,of,Dodgers,1997,20,114588
Chad Hermansen,ss,Pirates,1997,21,150252
Jaret Wright,rhp,Indians,1997,22,124605
Roy Halladay,rhp,Blue Jays,1997,23,136880
Jose Guillen,of,Pirates,1997,24,115229
Matt Morris,rhp,Cardinals,1997,25,119403
Aramis Ramirez,3b,Pirates,1997,26,133380
Carlos Guillen,ss,Astros,1997,27,136722
Chris Carpenter,rhp,Blue Jays,1997,28,112020
Dmitri Young,1b,Cardinals,1997,29,124693
Adrian Beltre,3b,Dodgers,1997,30,134181
Mike Cameron,of,White Sox,1997,31,111904
Braden Looper,rhp,Cardinals,1997,32,131702
Neifi Perez,ss,Rockies,1997,33,120413
Jay Payton,of,Mets,1997,34,134341
Mike Drumright,rhp,Tigers,1997,35,436703
Juan Melo,ss,Padres,1997,36,150440
Eli Marrero,c,Cardinals,1997,37,118305
